time,open,high,low,close
1776031200,6780,6786.25,6770,6783.25
1776031260,6783.5,6794.5,6782.25,6788.25
1776031320,6787.75,6789.5,6780.75,6784.75
1776031380,6784.75,6788.5,6781.75,6782.25
1776031440,6782.25,6784.25,6779.5,6782
1776031500,6782,6786,6780.25,6783.75
1776031560,6784.25,6786,6781.5,6782.75
1776031620,6782.75,6783.5,6780.25,6780.75
1776031680,6780.75,6784,6780.5,6783.25
1776031740,6783.25,6788.25,6783.25,6786.75
1776031800,6786.75,6788.5,6785.75,6788
1776031860,6788.25,6788.75,6785.5,6786
1776031920,6786.25,6789.5,6786.25,6788
1776031980,6788,6788.25,6784.5,6785
1776032040,6785.5,6786.25,6784,6785.25
1776032100,6785.25,6785.5,6782.5,6783
1776032160,6783,6783.5,6781.75,6782.25
1776032220,6782.25,6783.5,6781,6783.25
1776032280,6783,6783.5,6780.5,6780.5
1776032340,6781,6782.5,6778,6778.25
1776032400,6778.25,6781.5,6777.5,6780.25
1776032460,6780.5,6780.75,6779,6779.5
1776032520,6779.5,6780,6778.25,6780
1776032580,6780,6780.25,6778.75,6780.25
1776032640,6780,6780.75,6779,6779.25
1776032700,6779.25,6779.5,6775.5,6775.75
1776032760,6775.75,6775.75,6773.25,6774.5
1776032820,6774.25,6775.5,6772.75,6773
1776032880,6773,6775.25,6772.75,6774.5
1776032940,6774.25,6774.25,6768.75,6771.25
1776033000,6771.25,6771.75,6767,6768.75
1776033060,6768.75,6770.25,6767.5,6768
1776033120,6768.25,6768.75,6767,6767.75
1776033180,6768,6771.25,6767.25,6770.5
1776033240,6770.25,6774.5,6769.25,6774
1776033300,6774,6776.25,6773.25,6776
1776033360,6775.75,6778.5,6775,6777.75
1776033420,6777.75,6778,6776,6776.75
1776033480,6776.75,6777.5,6776.75,6777.25
1776033540,6777.25,6777.5,6775.75,6776.25
1776033600,6776,6777.25,6774.75,6776.5
1776033660,6776.25,6776.5,6772.75,6775
1776033720,6774.75,6775.75,6773.75,6774.25
1776033780,6774.25,6776.25,6774.25,6775.25
1776033840,6775,6775.75,6774,6775.5
1776033900,6775.5,6776,6775,6775.75
1776033960,6775.75,6776.5,6775.25,6776.25
1776034020,6776.5,6777,6775.75,6776
1776034080,6776.25,6776.25,6774.5,6774.75
1776034140,6774.75,6775.75,6774.25,6775
1776034200,6775,6775.25,6774.25,6774.5
1776034260,6774.5,6777.25,6774.5,6776.5
1776034320,6776.5,6777.5,6776,6777
1776034380,6777,6778.5,6776.25,6776.5
1776034440,6776.5,6777.25,6775.5,6777
1776034500,6777.5,6777.75,6776.75,6776.75
1776034560,6777,6777.5,6776.5,6776.5
1776034620,6776.75,6777,6775.5,6776
1776034680,6776,6778.75,6775.75,6778.75
1776034740,6778.5,6779,6778,6778.25
1776034800,6778.25,6778.5,6776.5,6776.75
1776034860,6776.5,6776.75,6774.5,6776
1776034920,6776,6776.75,6774.5,6774.75
1776034980,6775.25,6775.75,6773.75,6775.75
1776035040,6776,6776,6774.75,6775
1776035100,6775,6775.5,6774,6774.5
1776035160,6774.5,6775.5,6774.25,6775.5
1776035220,6775,6775.75,6773.25,6775
1776035280,6775,6776.5,6775,6776.5
1776035340,6776,6778,6775.25,6776
1776035400,6776,6777,6776,6776
1776035460,6776,6777.75,6775.75,6777.25
1776035520,6777.25,6777.25,6776,6776.25
1776035580,6776.25,6776.5,6775.25,6776.25
1776035640,6776.25,6776.5,6776,6776
1776035700,6776.25,6777.25,6776.25,6777
1776035760,6777,6777.25,6775.5,6775.5
1776035820,6775.5,6775.5,6773.5,6774
1776035880,6774.25,6774.75,6773.75,6774.75
1776035940,6774.75,6776,6774.75,6775.25
1776036000,6775.25,6775.25,6774.25,6774.5
1776036060,6774.5,6775,6773.75,6774
1776036120,6774,6774.75,6773.75,6773.75
1776036180,6774,6775.5,6774,6775
1776036240,6775,6775,6774,6774.5
1776036300,6774.5,6775.5,6774.5,6775
1776036360,6774.75,6776,6774.75,6775.75
1776036420,6776,6776.5,6775.75,6775.75
1776036480,6775.75,6776,6775,6776
1776036540,6776,6776.5,6775.5,6776.5
1776036600,6776.5,6776.5,6774.25,6774.75
1776036660,6774.75,6774.75,6773.75,6774.25
1776036720,6774.25,6774.75,6774,6774.75
1776036780,6774.5,6774.75,6774.25,6774.25
